As of Date,Facility Name,County,"Confirmed Cases (Incarcerated population, cumulative)","Cases Confirmed at Intake or Quarantine Period (Incarcerated population, cumulative)","Cases Confirmed in Custody (Incarcerated population, cumulative)","Active Cases (Incarcerated population, current)","Active Cases - Main Jail (Incarcerated population, current)","Active Cases - RCCC (Incarcerated population, current)","Active Cases (Incarcerated population, 7-day diff)","Active Cases - Main Jail (Incarcerated population, 7-day diff)","Active Cases - RCCC (Incarcerated population, 7-day diff)","Cases Released while Active (Incarcerated population, cumulative)","Deaths (Incarcerated population, cumulative)","Tests (Incarcerated population, cumulative)","Tests (Incarcerated population, 7-day diff)","Population (Incarcerated population, current)","Population (Incarcerated population, 7-day diff)","Percent of Population Tested (Incarcerated population, 7-day period)","Fully Vaccinated - Main Jail (Incarcerated population, cumulative)","Fully Vaccinated - RCCC (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, current)",Percent of Population Fully Vaccinated (Incarcerated population)
5/24/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,
6/23/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,5,5,0,0,0,0,0,0,0,,0,"1,215",,,,,,,,,
6/30/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,16,16,0,6,6,0,6,6,0,10,0,"1,927",712,,,,,,,,
7/8/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,13,13,0,5,5,0,-1,-1,0,,0,"1,762",-165,,,,,,,,
7/14/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,18,18,0,7,7,0,2,2,0,,0,"1,927",165,,,,,,,,
8/19/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,59,59,0,28,28,0,21,21,0,31,0,"3,089","1,162",,,,,,,,
8/26/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,76,76,0,24,24,0,-4,-4,0,,0,"3,346",257,"2,883",,,,,,,
9/2/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,80,80,0,17,17,0,-7,-7,0,,0,"3,495",149,"2,897",14,,,,,,
9/9/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,93,93,0,15,15,0,-2,-2,0,,0,"3,788",293,"2,895",-2,10.12,,,,,
9/16/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,98,98,0,13,13,0,-2,-2,0,,0,"4,048",260,"2,993",98,8.69,,,,,
9/23/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,99,99,0,6,6,0,-7,-7,0,,0,"4,235",187,"3,056",63,6.12,,,,,
9/30/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,101,100,1,3,3,0,-3,-3,0,,0,"4,410",175,"3,098",42,5.65,,,,,
10/7/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,103,102,1,3,3,0,0,0,0,,0,"4,615",205,"3,113",15,6.59,,,,,
10/14/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,105,104,1,3,3,0,0,0,0,,0,"4,813",198,"3,216",103,6.16,,,,,
10/21/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,109,108,1,2,2,0,-1,-1,0,,0,"5,068",255,"3,203",-13,7.96,,,,,
10/28/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,112,111,1,0,0,0,-2,-2,0,,0,"5,378",310,"3,247",44,9.55,,,,,
11/4/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,115,114,1,2,2,0,2,2,0,,0,"5,619",241,"3,211",-36,7.51,,,,,
11/11/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,120,119,1,7,7,0,5,5,0,,0,"5,893",274,"3,204",-7,8.55,,,,,
11/18/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,121,120,1,6,6,0,-1,-1,0,,0,"6,189",296,"3,156",-48,9.38,,,,,
11/24/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,126,125,1,8,8,0,2,2,0,,0,"6,349",160,"3,153",-3,5.07,,,,,
12/2/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,151,150,1,24,24,0,16,16,0,,0,"6,602",253,"3,182",29,7.95,,,,,
12/9/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,165,164,1,27,27,0,3,3,0,,0,"6,822",220,"3,229",47,6.81,,,,,
12/16/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,193,192,1,27,27,0,0,0,0,,0,"7,213",391,"3,232",3,12.1,,,,,
12/22/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,214,213,1,17,17,0,-10,-10,0,,0,"7,436",223,"3,292",60,6.77,,,,,
12/30/2020,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,298,242,56,83,25,58,66,8,58,,0,"7,840",404,"3,233",-59,12.5,,,,,
1/6/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,418,261,157,187,28,159,104,3,101,,0,"8,300",460,"3,272",39,14.06,,,,,
1/13/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,811,268,543,293,182,111,106,154,-48,,0,"9,373","1,073","3,166",-106,33.89,,,,,
1/20/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,993,278,715,306,192,114,13,10,3,,0,"9,935",562,"3,217",51,17.47,,,,,
1/27/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,1218,304,914,270,34,236,-36,-158,122,,0,"10,389",454,"3,211",-6,14.14,,,,,
2/4/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,"1,426",314,"1,112",224,52,172,-46,18,-64,,0,"10,943",554,"3,271",60,16.94,,,,,
2/10/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,"1,540",325,"1,215",117,29,88,-107,-23,-84,,0,"11,441",498,"3,274",3,15.21,,,,,
2/17/2021,Main Jail and Rio Cosumnes Correctional Complex (RCCC),Sacramento County,"1,599",335,"1,264",72,21,51,-45,-8,-37,,0,"12,082",641,"3,346",72,19.16,,,,,
