As of Date,Facility Name,County,"Active Cases (Incarcerated population, current)","Population (Incarcerated population, current)","Population (Incarcerated population, 7-day diff)","Tests (Incarcerated population, cumulative)","Tests (Incarcerated population, 1-day diff)","Tests (Incarcerated population, 7-day diff)","Percent of Population Tested (Incarcerated population, 7-day period)","Positive Tests (Incarcerated population, 1-day diff)","Negative Tests (Incarcerated population, 1-day diff)","Cases Confirmed at Intake (Incarcerated population, cumulative)","Cases Confirmed at Intake (Incarcerated population, 1-day diff)","Cases Confirmed in Custody (Incarcerated population, cumulative)","Cases Confirmed in Custody (Incarcerated population, 1-day diff)","Confirmed Cases (Incarcerated population, cumulative)","Confirmed Cases (Incarcerated population, 1-day diff)","Fully Vaccinated (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, current)",Percent of Population Fully Vaccinated (Incarcerated population)
3/13/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,1,1,,,0,1,,,,,,,,,
3/17/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,1,,,3,2,,,1,1,0,,,,0,,,,
3/19/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,11,8,,,0,8,0,,,,0,,,,
3/20/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,1,,,16,5,,,1,4,1,1,0,0,1,1,,,
3/21/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,18,2,,,0,2,1,,,,1,,,,
3/22/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,26,8,,,0,8,1,,,,1,,,,
3/23/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,27,1,27,,0,1,1,,,,1,,,,
3/26/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,31,4,30,,0,4,1,,,,1,,,,
3/29/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,35,4,32,,0,4,1,,,,1,,,,
3/30/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,37,2,26,,0,2,1,,,,1,,,,
3/31/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,39,2,23,,0,2,1,,,,1,,,,
4/1/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,0,,,40,1,22,,0,1,1,,,,1,,,,
4/2/2020,Main Jail and Elmwood Correctional Complex,Santa Clara County,1,,,42,2,16,,1,1,1,0,1,1,2,1,,,
