As of Date,Facility Name,County,"Population (Incarcerated population, current)","Population (Incarcerated population, 7-day diff)","Tests (Incarcerated population, cumulative)","Tests (Incarcerated population, 7-day diff)","Pending Tests (Incarcerated population, current)","Percent of Population Tested (Incarcerated population, 7-day period)","Confirmed Cases (Incarcerated population, cumulative)","Active Cases (Incarcerated population, current)","Hospitalizations (Incarcerated population, cumulative)","Red Patients (Incarcerated population, current)","Dark Red Patients (Incarcerated population, current)","Orange Patients (Incarcerated population, current)",Percent of Orange Patients in Population (Incarcerated population),"Resolved Cases (Incarcerated population, cumulative)","Cases Released while Active (Incarcerated population, cumulative)","Cases Released after Resolved (Incarcerated population, cumulative)","Resolved Cases in Custody (Incarcerated population, current)","Deaths (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, current)","Offered Vaccine (Incarcerated population, current)","
Percent of Population Fully Vaccinated (Incarcerated population)","Quarantined Cases (Incarcerated population, current)","Isolated Cases (Incarcerated population, current)","Bookings (Incarcerated population, cumulative)","Bookings (Incarcerated population, 1-day diff)","Released Cases (Incarcerated population, cumulative)","Test Refusals (Incarcerated population, 7-day diff)","Tests Administered in Custody (Incarcerated population, 7-day diff)","Test Refusals in Custody (Incarcerated population, 7-day diff)","Tests Administered at Intake (Incarcerated population, 7-day diff)","Test Refusals at Intake (Incarcerated population, 7-day diff)","Cases Confirmed in Custody (Incarcerated population, 7-day diff)","Cases Confirmed at Intake (Incarcerated population, 7-day diff)","Confirmed Cases (Incarcerated population, 7-day diff)"
3/1/20,Santa Rita Jail,Alameda County,2597,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/2/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/3/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/4/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/5/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/6/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/7/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/8/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/9/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/10/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/11/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/12/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/13/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/14/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/15/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/16/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/17/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/18/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/19/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/20/20,Santa Rita Jail,Alameda County,2343,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/21/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/22/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/23/20,Santa Rita Jail,Alameda County,2229,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/24/20,Santa Rita Jail,Alameda County,2217,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/25/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/26/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/27/20,Santa Rita Jail,Alameda County,2171,-172,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/28/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/29/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/30/20,Santa Rita Jail,Alameda County,2149,-80,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
3/31/20,Santa Rita Jail,Alameda County,2132,-85,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/1/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/2/20,Santa Rita Jail,Alameda County,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/3/20,Santa Rita Jail,Alameda County,2068,-103,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/4/20,Santa Rita Jail,Alameda County,,,,,,,1,1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/5/20,Santa Rita Jail,Alameda County,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/6/20,Santa Rita Jail,Alameda County,2033,-116,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/7/20,Santa Rita Jail,Alameda County,2012,-120,,,,,3,3,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/8/20,Santa Rita Jail,Alameda County,1983,,52,,7,,11,11,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/9/20,Santa Rita Jail,Alameda County,1979,,52,,6,,12,12,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/10/20,Santa Rita Jail,Alameda County,1963,-105,54,,2,,15,15,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/11/20,Santa Rita Jail,Alameda County,1914,,57,,4,,15,15,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/12/20,Santa Rita Jail,Alameda County,1925,,58,,3,,15,14,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/13/20,Santa Rita Jail,Alameda County,1929,-104,73,,16,,15,9,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4/14/20,Santa Rita Jail,Alameda County,1896,-116,74,,17,,15,9,0,26,,,,,,,,0,,,,,,,,,,,,,,,,,
4/15/20,Santa Rita Jail,Alameda County,1801,-182,77,25,4,1.39 ,27,14,0,18,,,,,,,,0,,,,,,,,,,,,,,,,,
4/16/20,Santa Rita Jail,Alameda County,1796,-183,77,25,4,1.39 ,27,13,0,20,,,,,,,,0,,,,,,,,,,,,,,,,,
4/17/20,Santa Rita Jail,Alameda County,1811,-152,81,27,7,1.49 ,28,14,0,23,,,,,,,,0,,,,,,,,,,,,,,,,,
4/18/20,Santa Rita Jail,Alameda County,1811,-103,84,27,4,1.49 ,31,15,0,21,,,,,,,,0,,,,,,,,,,,,,,,,,
4/19/20,Santa Rita Jail,Alameda County,1763,-162,87,29,6,1.64 ,31,15,0,21,,,,,,,,0,,,,,,,,,,,,,,,,,
4/20/20,Santa Rita Jail,Alameda County,1775,-154,87,14,3,0.79 ,32,16,0,23,,,,,,,,0,,,,,,,,,,,,,,,,,
4/21/20,Santa Rita Jail,Alameda County,1773,-123,93,19,4,1.07 ,33,16,0,23,,,,,,,,0,,,,,,,,,,,,,,,,,
4/22/20,Santa Rita Jail,Alameda County,1751,-50,93,16,6,0.91 ,33,15,0,24,,,,,,,,0,,,,,,,,,,,,,,,,,
4/23/20,Santa Rita Jail,Alameda County,1745,-51,95,18,3,1.03 ,33,8,0,13,,,,17,1,2,15,0,,,,,,,,,,,,,,,,,
4/24/20,Santa Rita Jail,Alameda County,1763,-48,103,22,9,1.25 ,33,8,0,10,,,,,,,,0,,,,,,,,,,,,,,,,,
4/25/20,Santa Rita Jail,Alameda County,1726,-85,106,22,11,1.27 ,33,8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
